"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 18 18:21:59 IST 2023","Thu May 18 18:22:09 IST 2023","10745","","Reading blog posts","","","","counting no of posts and asserting length >10",""
"passed","Thu May 18 18:21:45 IST 2023","Thu May 18 18:21:56 IST 2023","11847","","Home","","","","open URL and assrt title",""
"passed","Fri Jun 09 13:24:34 IST 2023","Fri Jun 09 13:24:42 IST 2023","7323","","Navigation Menu","","","","get text from all menu and assert",""
"passed","Thu May 18 18:48:09 IST 2023","Thu May 18 18:48:18 IST 2023","8941","","Navigation Menu","","","","get text from all menu and assert",""
"passed","Thu May 18 18:48:10 IST 2023","Thu May 18 18:48:18 IST 2023","8480","","Navigation Menu","","","","get text from all menu and assert",""
"passed","Thu May 18 18:21:57 IST 2023","Thu May 18 18:22:19 IST 2023","21466","","Iframe Validations","","","","switich to frame validate and back",""
"passed","Thu May 18 18:22:43 IST 2023","Thu May 18 18:22:49 IST 2023","5297","","upload files in browsers","","","","upload files by unhiding upload file buttton",""
"passed","Thu May 18 18:22:42 IST 2023","Thu May 18 18:22:47 IST 2023","5427","","upload files in browsers","","","","upload files by unhiding upload file buttton",""
"passed","Thu May 18 18:22:18 IST 2023","Thu May 18 18:22:19 IST 2023","807","","Home","","","","Click get stared and assert text contains getstarted",""
"passed","Thu May 18 18:21:45 IST 2023","Thu May 18 18:22:15 IST 2023","30470","","Iframe Validations","","","","switich to frame validate and back",""
"passed","Thu May 18 18:21:57 IST 2023","Thu May 18 18:21:59 IST 2023","2760","","Home","","","","Navigate to about page and assert url",""
"passed","Thu May 18 18:22:20 IST 2023","Thu May 18 18:22:21 IST 2023","935","","Home","","","","Click logo and assert get started is no more in URL",""
"passed","Thu May 18 18:22:28 IST 2023","Thu May 18 18:22:34 IST 2023","5957","","Contact form","","","","Submit form and assert success message","Assert Form submit successfully"
"passed","Thu May 18 18:22:22 IST 2023","Thu May 18 18:22:25 IST 2023","2737","","Home","","","","Verifying text in homepage",""
"passed","Thu May 18 18:22:13 IST 2023","Thu May 18 18:22:15 IST 2023","2178","","Home","","","","Verifying text in homepage",""
"passed","Thu May 18 18:21:59 IST 2023","Thu May 18 18:22:11 IST 2023","12153","","Home","","","","open URL and assrt title",""
"passed","Thu May 18 18:22:10 IST 2023","Thu May 18 18:22:12 IST 2023","1480","","Home","","","","Click logo and assert get started is no more in URL",""
"passed","Thu May 18 18:22:05 IST 2023","Thu May 18 18:22:08 IST 2023","2236","","Home","","","","Click get stared and assert text contains getstarted",""
"passed","Thu May 18 18:22:27 IST 2023","Thu May 18 18:22:35 IST 2023","7781","","Contact form","","","","Submit form and assert success message","Assert Form submit successfully"
"passed","Thu May 18 18:22:12 IST 2023","Thu May 18 18:22:14 IST 2023","2360","","Home","","","","Navigate to about page and assert url",""
"passed","Thu May 18 18:21:46 IST 2023","Thu May 18 18:21:55 IST 2023","9536","","Reading blog posts","","","","counting no of posts and asserting length >10",""
